month,mumps,measles,chickenpox
1944-07,275,182,299
1944-08,134,63,87
1944-09,75,21,89
1944-10,104,26,155
1944-11,161,30,446
1944-12,237,31,749
1945-01,330,60,1037
1945-02,467,82,1080
1945-03,707,171,1289
1945-04,667,207,1211
1945-05,711,221,1076
1945-06,793,358,1080
1945-07,429,194,372
1945-08,211,68,132
1945-09,140,18,78
1945-10,207,79,133
1945-11,251,181,203
1945-12,289,231,214
1946-01,433,809,347
1946-02,468,2022,407
1946-03,799,5014,780
1946-04,1138,6597,1182
1946-05,1048,4759,1082
1946-06,710,2191,899
1946-07,438,596,479
1946-08,178,107,123
1946-09,114,68,86
1946-10,118,56,180
1946-11,175,75,326
1946-12,206,114,695
1947-01,412,254,1235
1947-02,477,379,1399
1947-03,641,669,1854
1947-04,814,1141,2406
1947-05,846,1682,2026
1947-06,883,1613,1378
1947-07,591,854,522
1947-08,208,202,136
1947-09,177,88,76
1947-10,221,174,109
1947-11,311,234,259
1947-12,680,625,521
1948-01,1105,1709,996
1948-02,1490,3319,1174
1948-03,1956,6807,1751
1948-04,1713,6909,1554
1948-05,1291,5481,1428
1948-06,1053,3548,1308
1948-07,366,802,438
1948-08,153,159,150
1948-09,95,64,88
1948-10,117,32,151
1948-11,130,47,395
1948-12,183,83,781
1949-01,312,169,1389
1949-02,417,390,2059
1949-03,596,629,3058
1949-04,554,693,2589
1949-05,510,1008,1488
1949-06,527,960,1048
1949-07,290,454,253
1949-08,162,234,82
1949-09,96,133,79
1949-10,97,100,125
1949-11,191,214,226
1949-12,353,483,470
1950-01,604,1055,936
1950-02,767,1930,1026
1950-03,1116,3776,1244
1950-04,1103,4777,935
1950-05,1330,5428,1079
1950-06,1342,3440,884
1950-07,670,1012,349
1950-08,319,232,144
1950-09,167,73,79
1950-10,176,89,260
1950-11,261,90,445
1950-12,363,88,592
1951-01,616,282,1427
1951-02,634,381,1545
1951-03,808,549,1951
1951-04,902,1079,2200
1951-05,1003,1915,1964
1951-06,833,1770,1284
1951-07,475,948,523
1951-08,243,380,142
1951-09,167,184,93
1951-10,152,246,148
1951-11,182,515,198
1951-12,279,1360,374
1952-01,520,3707,915
1952-02,615,6441,963
1952-03,745,8616,1154
1952-04,838,7754,1393
1952-05,787,4945,1227
1952-06,827,2288,1158
1952-07,570,478,478
1952-08,254,75,84
1952-09,182,40,44
1952-10,185,68,113
1952-11,268,57,331
1952-12,530,146,1052
1953-01,813,224,1747
1953-02,785,246,1796
1953-03,1266,334,2625
1953-04,1495,518,2411
1953-05,1659,645,1877
1953-06,1532,600,1052
1953-07,1071,522,543
1953-08,458,215,110
1953-09,265,164,67
1953-10,230,209,124
1953-11,299,318,160
1953-12,634,1122,430
1954-01,802,2443,726
1954-02,945,4876,1101
1954-03,1220,10154,1769
1954-04,1088,10720,1599
1954-05,792,6136,1035
1954-06,707,4699,988
1954-07,420,1335,424
1954-08,199,249,147
1954-09,134,63,76
1954-10,123,59,105
1954-11,176,115,281
1954-12,284,188,524
1955-01,371,364,1044
1955-02,491,603,1247
1955-03,851,1305,2023
1955-04,923,1853,1903
1955-05,882,1865,1653
1955-06,945,1797,1247
1955-07,561,760,372
1955-08,324,245,107
1955-09,205,103,75
1955-10,225,98,94
1955-11,470,242,224
1955-12,657,477,487
1956-01,1066,594,989
1956-02,1371,1242,1639
1956-03,1674,2461,1991
1956-04,1844,4336,1905
1956-05,1819,6064,1846
1956-06,1469,4247,1381
1956-07,769,1419,451
1956-08,393,441,176
1956-09,176,110,83
1956-10,240,169,150
1956-11,299,188,272
1956-12,375,375,550
1957-01,584,823,798
1957-02,490,789,902
1957-03,702,949,1316
1957-04,769,1287,1443
1957-05,765,1949,1102
1957-06,601,1840,705
1957-07,389,845,272
1957-08,217,335,119
1957-09,165,176,106
1957-10,120,170,72
1957-11,137,231,115
1957-12,204,832,337
1958-01,288,1878,677
1958-02,348,3544,885
1958-03,515,6410,1142
1958-04,774,7634,1590
1958-05,751,4832,1355
1958-06,711,2594,1198
1958-07,555,893,565
1958-08,280,204,136
1958-09,182,86,89
1958-10,160,58,115
1958-11,255,47,174
1958-12,565,92,477
1959-01,753,199,741
1959-02,890,323,1034
1959-03,1183,537,1401
1959-04,1117,683,1316
1959-05,983,716,1056
1959-06,988,753,882
1959-07,573,567,506
1959-08,278,174,136
1959-09,219,144,80
1959-10,171,97,62
1959-11,270,187,149
1959-12,415,837,368
1960-01,510,2070,683
1960-02,587,4097,993
1960-03,721,6780,1205
1960-04,754,6492,1485
1960-05,699,3387,1349
1960-06,667,1822,1067
1960-07,355,469,369
1960-08,230,129,173
1960-09,145,51,95
1960-10,129,43,113
1960-11,235,78,175
1960-12,263,105,335
1961-01,361,227,619
1961-02,350,298,691
1961-03,551,374,1022
1961-04,488,384,858
1961-05,631,644,953
1961-06,717,683,913
1961-07,452,343,332
1961-08,293,185,127
1961-09,165,109,82
1961-10,180,123,62
1961-11,230,383,147
1961-12,276,1043,384
1962-01,435,1725,711
1962-02,487,3056,928
1962-03,563,5839,1152
1962-04,608,7875,1134
1962-05,803,6555,1277
1962-06,615,2866,961
1962-07,554,1075,509
1962-08,297,266,173
1962-09,166,58,170
1962-10,213,86,193
1962-11,303,125,290
1962-12,517,145,415
1963-01,703,184,707
1963-02,735,260,724
1963-03,1037,476,1105
1963-04,1078,782,1065
1963-05,954,1200,938
1963-06,729,1289,755
1963-07,552,901,442
1963-08,321,362,170
1963-09,166,168,91
1963-10,177,221,150
1963-11,216,423,219
1963-12,310,1140,317
1964-01,342,2053,561
1964-02,268,2267,631
1964-03,304,2859,829
1964-04,280,3338,857
1964-05,286,2578,955
1964-06,280,1486,808
1964-07,213,427,398
1964-08,143,120,111
1964-09,101,49,82
1964-10,117,59,147
1964-11,132,50,276
1964-12,277,149,528
1965-01,280,120,746
1965-02,424,126,889
1965-03,668,150,1274
1965-04,635,354,1164
1965-05,701,419,1024
1965-06,926,656,863
1965-07,706,331,436
1965-08,493,174,270
1965-09,309,83,156
1965-10,259,120,139
1965-11,324,395,156
1965-12,541,1199,306
1966-01,569,1635,362
1966-02,672,1965,438
1966-03,1020,2349,624
1966-04,848,1253,543
1966-05,754,655,642
1966-06,765,244,659
1966-07,437,109,286
1966-08,255,59,86
1966-09,166,24,43
1966-10,130,34,68
1966-11,165,30,168
1966-12,166,24,253
1967-01,235,39,526
1967-02,261,52,601
1967-03,390,57,809
1967-04,424,78,759
1967-05,500,83,950
1967-06,440,79,1088
1967-07,294,35,452
1967-08,167,28,198
1967-09,126,18,82
1967-10,124,11,72
1967-11,162,27,154
1967-12,182,22,206
1968-01,274,39,316
1968-02,349,70,569
1968-03,420,146,549
1968-04,607,292,671
1968-05,572,494,736
1968-06,496,441,659
1968-07,415,347,287
1968-08,240,225,132
1968-09,158,97,51
1968-10,124,91,85
1968-11,135,98,79
1968-12,100,105,133
1969-01,164,278,177
1969-02,148,384,210
1969-03,298,768,372
1969-04,506,1301,562
1969-05,567,1019,623
1969-06,639,788,626
1969-07,447,267,296
1969-08,283,76,142
1969-09,158,31,82
1969-10,223,39,96
1969-11,212,36,166
1969-12,333,46,288
1970-01,330,70,416
1970-02,281,106,459
1970-03,354,133,576
1970-04,527,185,1042
1970-05,463,154,873
1970-06,429,109,704
1970-07,300,65,366
1970-08,147,39,137
1970-09,104,40,58
1970-10,90,52,134
1970-11,77,58,71
1970-12,122,143,142
